service_id,date,exception_type
18774-special,20190701,1
19344-special,20190701,1
18756-special,20190701,1
18845-special,20190701,1
19265-special,20190701,1
18374-special,20190701,1
19279-special,20190701,1
17894-special,20190701,1
18226-special,20190701,1
18185-special,20190701,1
17267-special,20190701,1
17220-special,20190701,1
17115-special,20190701,1
17458-special,20190701,1
17412-special,20190701,1
18990-special,20190701,1
17414-special,20190701,1
17478-special,20190701,1
18798-special,20190701,1
18254-special,20190701,1
17888-special,20190701,1
17958-special,20190701,1
18281-special,20190701,1
17192-special,20190701,1
17385-special,20190701,1
18273-special,20190701,1
17331-special,20190701,1
18552-special,20190701,1
17542-special,20190701,1
18049-special,20190701,1
17108-special,20190701,1
18700-special,20190701,1
18140-special,20190701,1
17604-special,20190701,1
17422-special,20190701,1
18321-special,20190701,1
18010-special,20190701,1
17021-special,20190701,1
18532-special,20190701,1
18736-special,20190701,1
19137-special,20190701,1
17189-special,20190701,1
18743-special,20190701,1
18337-special,20190701,1
17035-special,20190701,1
18984-special,20190701,1
17091-special,20190701,1
19341-special,20190701,1
19102-special,20190701,1
17170-special,20190701,1
17702-special,20190701,1
17516-special,20190701,1
18419-special,20190701,1
18891-special,20190701,1
19116-special,20190701,1
19110-special,20190701,1
18554-special,20190701,1
18713-special,20190701,1
17177-special,20190701,1
18816-special,20190701,1
17166-special,20190701,1
19154-special,20190701,1
17235-special,20190701,1
17896-special,20190701,1
19238-special,20190701,1
18166-special,20190701,1
19278-special,20190701,1
17376-special,20190701,1
18462-special,20190701,1
19337-special,20190701,1
18556-special,20190701,1
17057-special,20190701,1
17718-special,20190701,1
19311-special,20190701,1
18130-special,20190701,1
18727-special,20190701,1
18716-special,20190701,1
18912-special,20190701,1
17211-special,20190701,1
17198-special,20190701,1
17832-special,20190701,1
18823-special,20190701,1
17735-special,20190701,1
17139-special,20190701,1
18317-special,20190701,1
17977-special,20190701,1
19348-special,20190701,1
18877-special,20190701,1
17787-special,20190701,1
17782-special,20190701,1
17373-special,20190701,1
17622-special,20190701,1
18358-special,20190701,1
17755-special,20190701,1
16985-special,20190701,1
18725-special,20190701,1
17086-special,20190701,1
19120-special,20190701,1
17902-special,20190701,1
18089-special,20190701,1
17820-special,20190701,1
17908-special,20190701,1
17318-special,20190701,1
17765-special,20190701,1
17626-special,20190701,1
19198-special,20190701,1
17034-special,20190701,1
18622-special,20190701,1
17163-special,20190701,1
17461-special,20190701,1
17925-special,20190701,1
17839-special,20190701,1
17935-special,20190701,1
17762-special,20190701,1
17030-special,20190701,1
19068-special,20190701,1
18519-special,20190701,1
18427-special,20190701,1
18746-special,20190701,1
17296-special,20190701,1
17293-special,20190701,1
19309-special,20190701,1
18835-special,20190701,1
17254-special,20190701,1
17104-special,20190701,1
18553-special,20190701,1
17968-special,20190701,1
18603-special,20190701,1
18606-special,20190701,1
18473-special,20190701,1
18102-special,20190701,1
17945-special,20190701,1
18275-special,20190701,1
17443-special,20190701,1
19300-special,20190701,1
17699-special,20190701,1
18354-special,20190701,1
16968-special,20190701,1
18790-special,20190701,1
17865-special,20190701,1
18278-special,20190701,1
17368-special,20190701,1
18669-special,20190701,1
19303-special,20190701,1
18565-special,20190701,1
17437-special,20190701,1
18507-special,20190701,1
17257-special,20190701,1
17386-special,20190701,1
18147-special,20190701,1
17749-special,20190701,1
18896-special,20190701,1
18083-special,20190701,1
17410-special,20190701,1
18026-special,20190701,1
18708-special,20190701,1
18923-special,20190701,1
17479-special,20190701,1
18888-special,20190701,1
18819-special,20190701,1
17002-special,20190701,1
18190-special,20190701,1
17890-special,20190701,1
18537-special,20190701,1
18077-special,20190701,1
17055-special,20190701,1
17118-special,20190701,1
17645-special,20190701,1
17862-special,20190701,1
18751-special,20190701,1
18681-special,20190701,1
17065-special,20190701,1
19283-special,20190701,1
17881-special,20190701,1
18306-special,20190701,1
18972-special,20190701,1
17077-special,20190701,1
19270-special,20190701,1
17551-special,20190701,1
17831-special,20190701,1
17855-special,20190701,1
17049-special,20190701,1
17990-special,20190701,1
17996-special,20190701,1
17921-special,20190701,1
17652-special,20190701,1
18114-special,20190701,1
18570-special,20190701,1
17624-special,20190701,1
17312-special,20190701,1
18086-special,20190701,1
17087-special,20190701,1
18512-special,20190701,1
18070-special,20190701,1
17775-special,20190701,1
18730-special,20190701,1
18542-special,20190701,1
19118-special,20190701,1
18742-special,20190701,1
18839-special,20190701,1
17125-special,20190701,1
19211-special,20190701,1
19086-special,20190701,1
17191-special,20190701,1
18511-special,20190701,1
17954-special,20190701,1
17768-special,20190701,1
17686-special,20190701,1
19171-special,20190701,1
17298-special,20190701,1
17017-special,20190701,1
18638-special,20190701,1
19081-special,20190701,1
17823-special,20190701,1
19048-special,20190701,1
18141-special,20190701,1
18899-special,20190701,1
18844-special,20190701,1
19235-special,20190701,1
18846-special,20190701,1
18490-special,20190701,1
19146-special,20190701,1
18724-special,20190701,1
18911-special,20190701,1
17224-special,20190701,1
17221-special,20190701,1
17710-special,20190701,1
17282-special,20190701,1
19350-special,20190701,1
17004-special,20190701,1
18279-special,20190701,1
18671-special,20190701,1
19079-special,20190701,1
17290-special,20190701,1
18670-special,20190701,1
18666-special,20190701,1
17717-special,20190701,1
19054-special,20190701,1
16967-special,20190701,1
17363-special,20190701,1
19316-special,20190701,1
19062-special,20190701,1
17706-special,20190701,1
18943-special,20190701,1
17536-special,20190701,1
18815-special,20190701,1
19135-special,20190701,1
17625-special,20190701,1
18969-special,20190701,1
18978-special,20190701,1
18433-special,20190701,1
18202-special,20190701,1
18095-special,20190701,1
18664-special,20190701,1
17335-special,20190701,1
17573-special,20190701,1
17058-special,20190701,1
19042-special,20190701,1
18705-special,20190701,1
17204-special,20190701,1
17621-special,20190701,1
18575-special,20190701,1
18006-special,20190701,1
18395-special,20190701,1
17759-special,20190701,1
18719-special,20190701,1
18177-special,20190701,1
18697-special,20190701,1
18452-special,20190701,1
18457-special,20190701,1
18346-special,20190701,1
17029-special,20190701,1
17873-special,20190701,1
17114-special,20190701,1
18138-special,20190701,1
17168-special,20190701,1
16960-special,20190701,1
18341-special,20190701,1
18356-special,20190701,1
18478-special,20190701,1
17110-special,20190701,1
19338-special,20190701,1
17541-special,20190701,1
17703-special,20190701,1
17793-special,20190701,1
18371-special,20190701,1
17357-special,20190701,1
17208-special,20190701,1
18361-special,20190701,1
17836-special,20190701,1
17518-special,20190701,1
19288-special,20190701,1
18247-special,20190701,1
18857-special,20190701,1
17073-special,20190701,1
17931-special,20190701,1
17764-special,20190701,1
18661-special,20190701,1
18862-special,20190701,1
17675-special,20190701,1
18213-special,20190701,1
18890-special,20190701,1
17598-special,20190701,1
18369-special,20190701,1
17906-special,20190701,1
18876-special,20190701,1
18134-special,20190701,1
17497-special,20190701,1
19089-special,20190701,1
17684-special,20190701,1
17984-special,20190701,1
17350-special,20190701,1
18807-special,20190701,1
18500-special,20190701,1
19033-special,20190701,1
17696-special,20190701,1
18526-special,20190701,1
19166-special,20190701,1
18894-special,20190701,1
18758-special,20190701,1
16995-special,20190701,1
18718-special,20190701,1
19104-special,20190701,1
17666-special,20190701,1
18359-special,20190701,1
18617-special,20190701,1
18631-special,20190701,1
17126-special,20190701,1
17993-special,20190701,1
17581-special,20190701,1
18649-special,20190701,1
18297-special,20190701,1
17441-special,20190701,1
19020-special,20190701,1
18448-special,20190701,1
18533-special,20190701,1
19242-special,20190701,1
18783-special,20190701,1
18668-special,20190701,1
19012-special,20190701,1
18048-special,20190701,1
17362-special,20190701,1
17901-special,20190701,1
17506-special,20190701,1
17969-special,20190701,1
17778-special,20190701,1
18571-special,20190701,1
18840-special,20190701,1
19192-special,20190701,1
17420-special,20190701,1
18886-special,20190701,1
19225-special,20190701,1
17579-special,20190701,1
18313-special,20190701,1
17394-special,20190701,1
18005-special,20190701,1
17830-special,20190701,1
18375-special,20190701,1
17432-special,20190701,1
18948-special,20190701,1
19039-special,20190701,1
18629-special,20190701,1
17112-special,20190701,1
17842-special,20190701,1
19200-special,20190701,1
19205-special,20190701,1
17154-special,20190701,1
17041-special,20190701,1
17673-special,20190701,1
18620-special,20190701,1
18482-special,20190701,1
17382-special,20190701,1
