block_id,route_id,wheelchair_accessible,direction_id,trip_headsign,shape_id,service_id,trip_id
a_2-11-6,11,1,1,Glenway,889,1,8710_merged_61580
b_3-12-1,12,1,1,City Hall,943,4_merged_61274,12566_merged_79565
b_1-47-9,47,1,1,Balmoral Station,1333,2_merged_61273,4199_merged_76214
a_2-162-2,162,1,1,Downtown,1059,1,12502_merged_65606
a_2-77-5,77,1,1,Kildonan Place,1448,1,11546
b_1-16-3,16,1,0,Tyndall Park via Burrows,1013,2_merged_61273,1189_merged_75072
a_2-77-5,77,1,0,Polo Park,1446,1,11545
a_1-86-2,86,1,1,Fort Rouge Station,1954,4_merged_61272,6804_merged_66044
b_1-98-2,82,1,1,Grace Hospital,1479,2_merged_61273,7164_merged_71793
b_2-90-2,90,1,1,Henderson & Whellams,1526,3,11549
a_2-160-2,160,1,1,Downtown,1052,1,12343_merged_69744
b_1-21-6,21,1,0,St.Charles,1194,2_merged_61273,2265_merged_77773
a_2-47-1,47,1,0,Transcona via Regent,1328,1,10646_merged_65567
b_1-53-2,53,1,1,University of Winnipeg,1358,2_merged_61273,4509
b_1-76-2,76,1,1,St.Vital Centre,1444,2_merged_61273,5983
b_1-76-2,76,1,0,U of Manitoba,1445,2_merged_61273,5984
a_1-55-6,32,1,1,Downtown,1254,4_merged_61272,4788_merged_62423
a_1-38-4,38,1,0,Templeton & McPhillips,1278,4_merged_61272,3600_merged_62939
a_2-95-2,95,1,1,Riverview,1907,1,12108_merged_61859
b_2-14-3,14,1,0,South St. Vital via Paddington,956,3,8587_merged_72762
a_1-94-1,94,1,1,Wildwood Park via Chevrier,1958,4_merged_61272,7181_merged_61364
b_1-71-1,71,1,0,WalMart via McPhillips,1421,2_merged_61273,5540_merged_77350
a_2-99-2,99,1,1,Downtown,1578,1,12211_merged_63704
b_3-11-2,11,1,1,Glenway,893,4_merged_61274,12355_merged_74588
b_3-160-3,160,1,0,University of Manitoba,1051,4_merged_61274,14478_merged_75348
a_3-16-4,16,1,0,Tyndall Park via Burrows,1003,2_merged_61271,13224_merged_69240
a_1-11-1,11,1,0,Polo Park,897,4_merged_61272,247_merged_66164
